Dir,Comp,Dist,AfterCatch,TD,Sack,Int,RedZone,PA,OOP
C,1,9,1,0,0,0,0,0,0
L,0,17,0,0,0,0,0,0,0
R,0,35,0,0,0,0,0,0,1
R,1,0,37,0,0,0,0,0,0
R,1,4,0,0,0,0,1,0,0
C,1,0,6,1,0,0,1,0,0
R,1,4,4,0,0,0,0,1,1
C,1,5,0,0,0,0,0,0,0
L,0,15,0,0,0,0,0,0,0
L,0,35,0,0,0,0,0,0,0
L,1,12,0,0,0,0,0,0,0
C,0,10,0,0,0,0,0,0,0
L,0,10,0,0,0,0,0,0,1
R,1,10,0,0,0,0,0,1,1
L,1,0,3,0,0,0,0,0,0
L,1,22,0,0,0,0,0,0,1
L,0,8,0,0,0,0,1,0,0
R,0,8,0,0,0,0,0,1,1
L,1,6,0,0,0,0,0,1,0
L,0,25,0,0,0,0,0,0,0
R,0,0,0,0,1,0,0,0,1
L,1,-3,-3,0,0,0,0,0,0
C,0,20,0,0,0,0,0,0,0
C,0,10,0,0,0,0,0,1,0
R,0,4,0,0,0,1,0,0,1
C,1,8,8,0,0,0,0,0,0
L,0,8,0,0,0,0,0,1,0
L,0,7,0,0,0,0,0,0,0
R,1,3,3,0,0,0,0,0,0
R,1,12,2,0,0,0,0,0,0
